Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
SVM (RBF),0.9880952380952381,0.9850746268656716,0.9428571428571428,0.9635036496350365,0.9976122448979592
Logistic Regression,0.986904761904762,0.9640287769784173,0.9571428571428572,0.9605734767025089,0.9973877551020408
Random Forest,0.9702380952380952,0.9457364341085271,0.8714285714285714,0.9070631970260223,0.9914030612244898
Decision Tree,0.8773809523809524,0.6178343949044586,0.6928571428571428,0.6531986531986532,0.8035714285714285
KNN,0.5964285714285714,0.29227557411273486,1.0,0.45234248788368336,0.8985204081632654
